iter	MultiClass
0	1.567934474
1	1.409828677
2	1.291323652
3	1.197631331
4	1.12133222
5	1.057942051
6	1.005177443
7	0.9606082278
8	0.9211448821
9	0.8868937896
10	0.8572306487
11	0.8312919747
12	0.8082973008
13	0.7882658752
14	0.7703132062
15	0.7543712509
16	0.7399694424
17	0.7272340162
18	0.7159957213
19	0.7059638426
20	0.6969258105
21	0.6887687088
22	0.6814844523
23	0.6748274832
24	0.6689837548
25	0.6637329738
26	0.6590282115
27	0.6546503746
28	0.6507654003
29	0.6472125295
30	0.6440775015
31	0.6412523847
32	0.638737928
33	0.6370580746
34	0.6349181967
35	0.6329717657
36	0.6312106693
37	0.6298994044
38	0.6284119965
39	0.62711628
40	0.6259175583
41	0.6248507549
42	0.6238868783
43	0.6229853195
44	0.6221894362
45	0.6215168562
46	0.6208663216
47	0.6203165163
48	0.6197913454
49	0.6192937753
50	0.6188684146
51	0.6184546622
52	0.6180686967
53	0.6177040157
54	0.6173830502
55	0.6171131322
56	0.6168738148
57	0.6166573528
58	0.6164464812
59	0.6162093113
60	0.6160267381
61	0.6158663692
62	0.6157218991
63	0.6155454408
64	0.6154064138
65	0.615177739
66	0.6150289442
67	0.6149187991
68	0.6148142639
69	0.6146730728
70	0.6145880171
71	0.6144902229
72	0.6143867197
73	0.6142470953
74	0.6141711704
75	0.6140815205
76	0.6140284301
77	0.6139738719
78	0.6139277191
79	0.6138623671
80	0.6138206685
81	0.6137260335
82	0.6136518821
83	0.6136094114
84	0.6135279585
85	0.6134945764
86	0.6134715512
87	0.6134378399
88	0.6133677422
89	0.6133452487
90	0.6133042805
91	0.613220981
92	0.6131214758
93	0.6130939578
94	0.6130748084
95	0.6130468051
96	0.6130125206
97	0.6128815809
98	0.6128476502
99	0.6128147776
