iter	Passed	Remaining
0	156	15480
1	206	10142
2	281	9096
3	362	8688
4	437	8307
5	510	7997
6	563	7491
7	640	7362
8	700	7085
9	794	7149
10	914	7398
11	958	7030
12	1035	6931
13	1069	6567
14	1143	6478
15	1221	6414
16	1285	6278
17	1335	6082
18	1396	5954
19	1433	5735
20	1487	5596
21	1541	5464
22	1616	5412
23	1667	5280
24	1735	5207
25	1811	5154
26	1856	5019
27	1924	4948
28	1994	4883
29	2043	4767
30	2111	4699
31	2169	4611
32	2229	4525
33	2245	4358
34	2293	4258
35	2343	4165
36	2407	4099
37	2463	4019
38	2509	3924
39	2545	3817
40	2605	3749
41	2647	3656
42	2675	3546
43	2745	3494
44	2799	3421
45	2913	3420
46	3026	3413
47	3114	3373
48	3237	3369
49	3323	3323
50	3430	3295
51	3539	3267
52	3587	3180
53	3640	3101
54	3717	3041
55	3788	2976
56	3857	2909
57	3919	2838
58	3966	2756
59	4033	2689
60	4099	2620
61	4147	2541
62	4216	2476
63	4283	2409
64	4351	2343
65	4419	2276
66	4486	2209
67	4565	2148
68	4623	2077
69	4779	2048
70	4853	1982
71	4923	1914
72	4989	1845
73	5061	1778
74	5139	1713
75	5208	1644
76	5279	1577
77	5346	1507
78	5416	1439
79	5526	1381
80	5608	1315
81	5679	1246
82	5756	1179
83	5827	1109
84	5896	1040
85	5932	965
86	5977	893
87	6032	822
88	6104	754
89	6161	684
90	6228	615
91	6296	547
92	6364	479
93	6411	409
94	6455	339
95	6512	271
96	6580	203
97	6646	135
98	6732	68
99	6828	0
